"","address","availability","groups","languages","billing","zipcode"
"16","Grand-Chêne 5 1003 Lausanne Switzerland","Less than two weeks","Adults Young adults Teenagers Couples Families Senior management","German Swiss German French Italian English Spanish","Covered by basic insurance",1003
"17","16, quai Gustave-Ador 1207 Genève Switzerland","Less than two weeks","Adults Young adults Teenagers Teams","French","Covered by basic insurance To be paid by yourself",1207
"18","Route de Chêne 11 1207 Genève Switzerland","At least four weeks","Older adults Adults Couples Families Teams Groups Senior management","French","Covered by basic insurance To be paid by yourself",1207
"19","Rue Dom-Hermann 18 1635 La Tour-de-Trême Switzerland","Two to four weeks","Teenagers Young adults Children","French","Partially covered by supplementary insurance",1635
"20","LE KABINET Rue des Frères-Lumière 6 1723 Marly Switzerland","No date currently available","Adults Young adults Couples Teenagers Older adults","French","Covered by basic insurance",1723
"21","Praxis für Psychotherapie Zürich Wipkingen Postfach 155 8042 Zürich Switzerland","No date currently available","Adults Young adults Senior management","German Italian English","Covered by basic insurance",8042
"22","Studio di psicoterapia Via Convento 6A 6500 6500 Bellinzona Switzerland Via Breganzona 16 6900 Lugano Switzerland","Two to four weeks","Older adults Young adults Teenagers Children Groups","French Italian","Covered by basic insurance",6500
"23","Haldenstrasse 6 6300 Zug Switzerland","Two to four weeks","Older adults Couples Families Teenagers Adults Young adults Senior management","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6300
"24","CB Psychotherapie Gutenbergstrasse 6 3011 Bern Switzerland","At least four weeks","Older adults Couples Teams Adults Senior management","German Swiss German French Italian Spanish","Covered by basic insurance",3011
"25","Jean-François Briefer Rue de Vermont 9A 1202 Genève Switzerland Jean-Francois Briefer chemin des Cytises, 29 1255 Veyrier Switzerland","Less than two weeks","Older adults Adults Young adults Couples Teenagers Teams Senior management","French English","Covered by basic insurance",1202
"26","33 rue Liotard 1202 Genève Switzerland","Less than two weeks","Adults Young adults Teenagers","French","Partially covered by supplementary insurance",1202
"27","Consultation de l'enfant et de l'adolescent de l'UNIL Av. Gare 1 1003 Lausanne Switzerland","No date currently available","Families Teenagers Children","French","Covered by basic insurance",1003
"28","Cabinet MeR-PSY Place du Marché 8 1820 Montreux Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance",1820
"29","Gabriela Brodmann, Freiestrasse 43, 3012 Bern Freiestrasse 43 3012 Bern Switzerland","At least four weeks","Older adults Adults Young adults Teams Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",3012
"30","Avenue de Champel 24 1206 Genève Switzerland","Less than two weeks","Older adults Adults Young adults Teenagers Children Teams","French","Covered by basic insurance",1206
"31","Cabinet La Boussole Rue de Chêtre 7 2800 Delémont Switzerland","At least four weeks","Families Teenagers Adults Children Young adults","French","Partially covered by supplementary insurance To be paid by yourself",2800
"32","Cabinet de psychologie Rue de l'Orbe 65 1337 Vallorbe Switzerland Cabinet de psychologie Rue de Lausanne 15 1201 Genève Switzerland Cabinet de psychologie Place de la Gare 12 1003 Lausanne Switzerland","Less than two weeks","Adults Senior management Teams Groups","French","To be paid by yourself",1337
"33","Eros et Psyché Pré fleuri 16 2502 Bienne Switzerland Sanaris Rue de la gare 19 2502 Bienne Switzerland","At least four weeks","Couples Adults Young adults Teenagers","French Italian","Covered by basic insurance",2502
"34","L'espace de soins Rte de Cossonay 18 1040 Echallens Rte de Cossonay 1040 Echallens Switzerland","At least four weeks","Adults","French Italian","Covered by basic insurance",1040
"35","24, av. de Champel 1206 Genève Switzerland","Two to four weeks","Adults Young adults","French","Covered by basic insurance",1206
"36","Praxis für Psychotherapie Albert Renato Brunner Hirschengraben 13 6003 Luzern Switzerland","No date currently available","Older adults Adults Young adults","German English","Covered by basic insurance To be paid by yourself",6003
"37","NIL Wilerstrasse 2 9242 Oberuzwil Switzerland NIL In der Gandstr. 10 8126 Zumikon Switzerland","Two to four weeks","Adults Young adults Teenagers Children","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",9242
"38","psychotherapie-plus Weihergasse 7 3005 Bern Switzerland","No date currently available","Older adults Adults Young adults Couples Teenagers","German","Covered by basic insurance To be paid by yourself",3005
"39","Patrizia Bruzzi Av. des Alpes 68 1820 Montreux Switzerland","Two to four weeks","Adults Young adults Teams","French Italian Spanish","Covered by basic insurance",1820
"40","Praxis für Psychotherapie Lea Bucher Alte Obfelderstrasse 2 8910 Affoltern a. A. Switzerland","At least four weeks","Older adults Couples Adults Young adults","German Swiss German","Covered by basic insurance",8910
"41","Elanpark, Bauelenzelgstrasse 20, Eglisau, Raum A 204 Bauelenzelgstrasse 20 8193 Eglisau Switzerland","At least four weeks","Older adults Adults","German Spanish","Covered by basic insurance To be paid by yourself",8193
"42","Consultation de Neuropsychologie Grand Rue 34 1814 La Tour-de-Peilz Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Children","French","Covered by basic insurance",1814
"43","Dufourstrasse 13 3400 3400 Burgdorf Switzerland Jürg Bühler Swiss Tennis Roger-Federer-Allee 1 2501 2501 Biel/Bienne Switzerland","Two to four weeks","Adults Young adults Teenagers Senior management","German French English","To be paid by yourself",3400
"44","Praxis für Psychotherapie Florastr. 42A 8610 Uster Switzerland Aerztehaus Oberdorf Usterstr. 2 8620 Wetzikon Switzerland","No date currently available","Older adults Couples Families Teenagers Teams Adults Children Young adults Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8610
"45","Psychotherapeutische Praxis Bunz-Schlösser Hafencenter Hafenstr. 50 A 8280 Kreuzlingen Psychotherapeutische Praxis Bunz-Schlösser 8280 Kreuzlingen Switzerland Psychotherapeutische Praxis Bunz-Schlösser Hafencenter Hafenstr, 50 A 8280 Kreuzlingen Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German","Covered by basic insurance",8280
"46","Rue Aimé-Steinlen 1 1800 Vevey Switzerland","No date currently available","Adults Young adults Families Teenagers Children Teams","French","Covered by basic insurance",1800
"47","Cabinet de psychologie et psychothérapie Petit-Chêne 22 1003 Lausanne Switzerland","No date currently available","Older adults Adults Young adults Couples Families Teenagers Teams","German French English","Covered by basic insurance To be paid by yourself",1003
"48","Praxis für Psychotherapie Monbijoustr. 35 3011 Bern Switzerland","No date currently available","Adults Older adults Young adults","German Swiss German French","Covered by basic insurance To be paid by yourself",3011
"49","Praxis Psychotherapie Zürich Im eisernen Zeit 1 8057 Zürich Switzerland","At least four weeks","Adults Young adults Families Children","German Swiss German English","Covered by basic insurance To be paid by yourself",8057
"50","Monique Burkhardt Leuenstrasse 2 c/o Praxis Dr. M. Urbinelli 4702 Oesingen Switzerland Monique Burkhardt (meine private Postadresse) Schöntalstrasse 71 4438 Langenbruck Switzerland","Two to four weeks","Adults Young adults","Swiss German French","Covered by basic insurance",4702
"51","Burkhart Coaching (Burkhart-Wyss mental health coaching) Schaffhauserstrasse 6, 8180 Bülach 8180 Bülach Switzerland","At least four weeks","Adults Young adults Couples Teenagers","German Swiss German English","To be paid by yourself",8180
"52","Praxis für Psychotherapie Weinbergstrasse 20 8001 Zürich Switzerland","No date currently available","Older adults Adults Couples","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8001
"53","Cabinet de psychothérapie Emile-Yung 9 Emile-Yung 9 1205 Geneve Switzerland Cabinet de psychothérapie Emile-Yung 9 Emile-Yung 9 1205 Genève Switzerland","Two to four weeks","Adults Young adults Senior management Couples Older adults Teenagers Children","French English","Covered by basic insurance To be paid by yourself",1205
"54","Ankerstrasse 5 3006 Bern Switzerland","At least four weeks","Older adults Adults Young adults Couples","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3006
"55","Praxis für Psychotherapie Myriam Burth Schweizerhofstrasse 3 8750 Glarus Switzerland","At least four weeks","Older adults Adults Young adults Couples","German Swiss German English","Covered by basic insurance To be paid by yourself",8750
"56","Place du Marché 20 1227 Carouge Switzerland","At least four weeks","Families Teenagers Children Groups","French Italian","Covered by basic insurance",1227
"57","Studio di consulenza e psicoterapia Via Vincenzo Vela 19 6850 Mendrisio Switzerland","Two to four weeks","Older adults Adults Young adults Teenagers","French Italian","Partially covered by supplementary insurance",6850
"58","Avenue Henri Dunant 11 1205 Genève Switzerland","At least four weeks","Older adults Couples Families Teenagers Adults Young adults","French","Covered by basic insurance",1205
"59","Ressources-psy Sàrl Rue de Conthey 10 1950 Sion Switzerland","At least four weeks","Older adults Couples Families Teenagers Teams Adults Groups Young adults Senior management Children","French English","Covered by basic insurance",1950
"60","Centre TCC Rue du Rhône 1 1920 Martigny Switzerland Rue du Torrent 1 1800 Vevey Switzerland","No date currently available","Adults Teams Senior management","French","Covered by basic insurance To be paid by yourself",1920
"61","Dr. phil. Christina Casanova Praxis für Psychotherapie Karlihofplatz 5 7000 chur Switzerland","At least four weeks","Adults Older adults Couples","German French English","Covered by basic insurance",7000
"62","Pablo Hugo Cascone rue de Zurich, 42 1201 Genève Switzerland","Less than two weeks","Adults Teenagers Couples","French Spanish","Covered by basic insurance",1201
"63","Cabinet de groupe Experta Medica Rue du Village 47 1214 Vernier Switzerland Cabinet holistique Rue du Lac 7 1400 Yverdon Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance",1214
"64","Dedalo Vicolo Confalonieri 10 6850 Mendrisio Switzerland","Two to four weeks","Families Teenagers Adults Young adults","German French Italian English Spanish","Covered by basic insurance",6850
"65","Via Nassa 32 6900 Lugano Switzerland","Two to four weeks","Families Teenagers Adults Children Young adults","German French Italian","Covered by basic insurance",6900
"66","Via Massagno 20 6900 Lugano Switzerland Carlo Diener 9 6850 Mendrisio Switzerland","Less than two weeks","Older adults Couples Teenagers Families Teams Adults Groups Children Young adults Senior management","Italian","Covered by basic insurance To be paid by yourself",6900
"67","Studio Nautilus Via C. Pasta 3a 6850 Mendrisio Switzerland Cereghetti Stefano Via Berna 6 6900 Lugano Switzerland Centro Terapeutico Villa Argentina Corso Elvezia 24a 6900 Lugano Switzerland","Less than two weeks","Couples Families Adults Groups Young adults","French Italian","Covered by basic insurance",6850
"68","Horizon Résilience : consultation pour la santé mentale post-traumatique - Université de Genève Bd du Pont d'Arve, 40 1205 Genève Switzerland","At least four weeks","Adults Teams Young adults Senior management","French Italian English","Covered by basic insurance",1205
"69","Praxishochdrei Spitalgasse 38 3011 Bern Switzerland","At least four weeks","Adults Couples","German French Italian English Hindi","Covered by basic insurance",3011
"70","Cabinet de psychologie 58 av. Général-Guisan 1800 Vevey Switzerland","Less than two weeks","Adults","French Arabic English","Covered by basic insurance",1800
"71","Praxis Unique Therapy Rigiplatz 1 8006 Zürich Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Children Teams Groups Senior management","German French Italian Albanian English Greek Russian Turkish Ukrainian","Covered by basic insurance",8006
"72","Rue Lamartine 23 1203 Genève Switzerland","Two to four weeks","Adults Couples Families Teenagers Children",NA,"Partially covered by supplementary insurance Covered by basic insurance",1203
"73","Point de Fusion Rue de Saint Guérin 11 1950 Sion Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Children","French","Covered by basic insurance",1950
"74","Rue du Milieu 10a 2502 Biel/Bienne Switzerland","At least four weeks","Older adults Adults Young adults Teenagers","French","Covered by basic insurance",2502
"75","cabinet de consultation psychologique et psychopédagogique Coq d'inde 24 2000 Neuchatel Switzerland","Two to four weeks","Families Teenagers Adults Children Young adults","French","Partially covered by supplementary insurance",2000
"76","Psychotherapeutische Praxis Elisa Choi Hönggerstrasse 117 8037 Zürich Switzerland","At least four weeks","Adults Young adults Families Teenagers","German Swiss German","Covered by basic insurance To be paid by yourself",8037
"77","Psychotherapie Psychoanalyse Supervision Horgen Seestrasse 126 8810 Horgen Switzerland","No date currently available","Adults Young adults Teams","German Swiss German French Italian English Hungarian","Covered by basic insurance",8810
"78","Stefan Christen Stutzrain 28 6005 St. Niklausen LU Switzerland","Two to four weeks","Young adults Couples Children Groups",NA,"To be paid by yourself",6005
"79","Praxis für Psychotherapie Annette Cina Rue de Lausanne 13 1700 Fribourg Switzerland","At least four weeks","Adults Young adults Families Teenagers Children Teams Groups","German Swiss German French English","Covered by basic insurance To be paid by yourself",1700
"80","Mathias Claus Praxisgemeinschaft Wallisellen, Rotackerstrasse 20 Rotackerstrasse 20 8304 Wallisellen Switzerland Psychoherapiepraxis Sundlauenen Schwendiweg 2 3800 Sundlauenen Switzerland Psychotherapiepraxis Windisch Ländestrasse 27c 5210 Windisch Switzerland","Two to four weeks","Adults","German","Covered by basic insurance To be paid by yourself",8304
"81","Le Bourg 11 1610 Oron-la-Ville Switzerland","At least four weeks","Adults Young adults Families Teenagers Children Senior management","French","Covered by basic insurance",1610
"82","KJPR-Praxis für Kinder-/Jugendpsychologie und Rechtspsychologie, Neue Realitäten AG Bahnhofstrasse 1 3600 Thun Switzerland","At least four weeks","Families Teenagers Children Young adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3600
"83","Rue des Petits-Epineys 17 1920 Martigny Switzerland Centre de Psychothérapie GnosisPsy Av. des Platanes 9B 3960 Sierre Switzerland","Two to four weeks","Adults","French","Covered by basic insurance",1920
"84","Rue Henri Christiné 5 1205 Genève Switzerland Physioptimum Chemin Lullin 26a 1256 Troinex Switzerland","Less than two weeks","Older adults Adults Teenagers","French","Covered by basic insurance",1205
"85","Praxis für Psychotherapie Kantonsstrasse 60 8864 8864 Reichenburg Switzerland","No date currently available","Adults Young adults Families Teenagers Children","German","Covered by basic insurance",8864
"86","c/o Praxis 9 Punkt 9 Choisystrasse 11 3008 Bern Switzerland","At least four weeks","Adults Young adults Couples","German Swiss German French Italian","Covered by basic insurance To be paid by yourself",3008
"87","Praxis für Neuropsychologie Conrad und Noser Neumarktstrasse 58a 2503 Biel Switzerland","At least four weeks","Adults","German Swiss German English","Covered by basic insurance",2503
"88","Jean Costa Av. Cécil 6 1007 Lausanne Switzerland","Two to four weeks","Teenagers Children Young adults Adults Families Older adults","French Catalan Spanish","Covered by basic insurance",1007
"89","Béatrice Cortellini, 96 rue de la Servette, 1202 GENEVE 96 rue de la Servette 1202 GENEVE Switzerland","Two to four weeks","Adults Couples Families",NA,"Covered by basic insurance",1202
"90","Av. Alfred Cortot 7E 1260 Nyon Switzerland","Less than two weeks","Older adults Adults Young adults Teenagers","French","Covered by basic insurance To be paid by yourself",1260
"91","Centre thérapeutique de Jour Ch. de Nazareth 1 1762 Givisiez Switzerland","No date currently available","Families Children","French","To be paid by yourself",1762
"92","Cabinet de Psychothérapie Myriam Cuennet Rue Saint-Pierre 2 1700 Fribourg Switzerland","Less than two weeks","Adults Young adults Couples Older adults Senior management","French","Partially covered by supplementary insurance",1700
"93","Route de Fribourg 15 1723 Marly Switzerland","No date currently available","Adults Young adults Couples","French","Covered by basic insurance",1723
"94","Studio Psicoterapia Piazza Molino Nuovo 17 6900 Lugano Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers","Italian","Covered by basic insurance",6900
"95","Studio di psicoterapia InConTra Via A.Ciseri 5 6600 Locarno Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Children Groups Senior management","French Italian","Covered by basic insurance To be paid by yourself",6600
"96","Psychotherapie Sabine Dahler Bärengasse 1 8750 Glarus Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Groups","German Swiss German English","Covered by basic insurance To be paid by yourself",8750
"97","Studio in psicoterapia Irene Danielli Corso San Gottardo 89 6830 Chiasso Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Children Senior management","French Italian","Covered by basic insurance",6830
"98","Psychotherapeutische Praxis Petra Daum Sommerhaldenstrasse 32 c 5200 Brugg Switzerland","Two to four weeks","Older adults Couples Families Teenagers Teams Adults Groups Young adults Senior management Children","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",5200
"99","Marie Helene Dayer Boulevard de Pérolles 30I 1700 Fribourg Switzerland","At least four weeks","Families Teenagers Groups","German French Spanish","Covered by basic insurance",1700
"100","Studio Nexus Via Luigi Lavizzari 4 6850 Mendrsio Switzerland","Two to four weeks","Adults Young adults Families Teenagers Children","French Italian","Covered by basic insurance",6850
"101","Studio di psicoterapia Via Cortivallo 26 6900 Lugano Switzerland Studio di psicoterapia Vic. Motto di Lena 1 6648 Minusio Switzerland","Less than two weeks","Adults Young adults Couples Families Teenagers Children Groups","German French Italian English Spanish","Covered by basic insurance To be paid by yourself",6900
"102","Psychotherapeutische Praxis Luciana de Luna Toprak Schoffelgasse, 3 8001 ZURICH Switzerland","No date currently available","Adults Young adults","German Portuguese","Covered by basic insurance To be paid by yourself",8001
"103","Cabinet de Psychothérapie Pestalozzi 17 1202 Genève Switzerland","No date currently available","Older adults Adults Young adults Teenagers","German Swiss German French English","Partially covered by supplementary insurance",1202
"104","Praxis Dr. phil. Vicente L. de Moura Jungstrasse 9 8050 Zürich Switzerland","No date currently available","Adults Young adults","German English Portuguese Spanish","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8050
"105","Praxis für Psychotherapie und Supervision General-Wille-Strasse 15 8002 Zürich Switzerland","No date currently available","Adults Young adults Teenagers","German Swiss German Dutch","Covered by basic insurance To be paid by yourself",8002
"106","Cabinet de psychologie Suzanne Debluë Rue Friporte 14 1095 Lutry Switzerland","Less than two weeks","Couples Families","French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1095
"107","Reichsgasse 69 7000 Chur Switzerland","No date currently available","Adults Couples Senior management","German","Covered by basic insurance",7000
"108","Elisabeth Degen Apollostrasse 2 8032 Zürich Switzerland","Two to four weeks","Adults","German","Partially covered by supplementary insurance To be paid by yourself",8032
"109","Praxis Dr. P. Scheidegger, Dr. M. Degonda Bahnhofstr. 18 5079 Zeihen Switzerland","At least four weeks","Older adults Adults Young adults Senior management",NA,"Covered by basic insurance To be paid by yourself",5079
"110","Alemannengasse 88 4058 Basel Switzerland","At least four weeks","Older adults Adults Young adults Couples Teenagers","German Swiss German English","Covered by basic insurance",4058
"111","Cabinet de psychologie et de psychothérapie Rue de la Poste 1 1920 Martigny Switzerland","At least four weeks","Adults Young adults Teams Groups Senior management","French","Partially covered by supplementary insurance",1920
"112","Via Cantonale 16 6919 Carabietta Switzerland","Two to four weeks","Adults Young adults Teams Groups Senior management","French Italian","Partially covered by supplementary insurance To be paid by yourself",6919
"113","Rue Maurice-Braillard 4 1202 Genève Switzerland","Two to four weeks","Adults Young adults Older adults Couples Senior management","French","Covered by basic insurance",1202
"114","Cabinet de psychothérapie Rue du Môle 3 2000 Neuchâtel Switzerland Cabinet de psychothérapie Chemin de Ruveau 11 2520 La Neuveville Switzerland","At least four weeks","Couples Adults Young adults Teams","French Spanish","Covered by basic insurance To be paid by yourself",2000
"115","Dr. phil. Erica Desch Laupenstrasse 8 3008 Bern Switzerland","No date currently available","Adults Young adults Couples Children","German Italian","Covered by basic insurance",3008
"116","Centre des Sources Boulevard des Philosophes 17 (accès direct rue Imbert-Galloix 2, rez inf) 1205 Genève Switzerland","At least four weeks","Young adults Families Teenagers Children Groups","French English","Covered by basic insurance",1205
"117","Di Gangi & Vicini - Centro Psicoterapia & Neuropsicologia Sagl Via San Gottardo 28 A 6598 Tenero Switzerland Di Gangi & Vicini - Centro Psicoterapia & Neuropsicologia Sagl Via Trevano 76 6900 Lugano Switzerland","At least four weeks","Older adults Adults Young adults Senior management","Italian","Covered by basic insurance",6598
"118","Psychotherapie am Zürichberg Toblerstrasse 27 8044 Zürich Switzerland Psychotherapie am Viktoriaplatz Moserstrasse 10 3014 Bern Switzerland","Two to four weeks","Older adults Adults","German Swiss German English","Covered by basic insurance To be paid by yourself",8044
"119","Steinenring 41 4051 Basel Switzerland","No date currently available","Older adults Adults",NA,"Covered by basic insurance To be paid by yourself",4051
"120","Praxis für Psychotherapie Röntgenstrasse 44 8005 Zürich Switzerland","No date currently available","Young adults Families Children","German Italian English","Covered by basic insurance",8005
"121","Neuhofstrasse 3d 6340 Baar Switzerland","At least four weeks","Older adults Couples Families Teenagers Adults Young adults Senior management","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6340
"122","Thomas Diewald Sulzerstrasse 13 4054 Basel Switzerland","No date currently available","Adults Young adults Teams Senior management","German","To be paid by yourself",4054
"123","Ruth-Esther DILL, Ärztehaus Oberdorf Usterstr. 2 8620 Wetzion ZH Switzerland Zelgwiespraxis Zelgwiesstrasse 6 8608 Bubikon Switzerland","At least four weeks","Teenagers Young adults Adults Older adults","German Swiss German English","Covered by basic insurance",8620
"124","Praxisgemeinschaft Klosbachstrasse Klosbachstrasse 105 8032 Zürich Switzerland","Less than two weeks","Families Teenagers Children","French Italian","To be paid by yourself",8032
"125","Vordergasse 20 8615 Wermatswil Uster Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teams Groups Senior management","German Swiss German French English","Covered by basic insurance To be paid by yourself",8615
"126","Sandra Disteli Oberwilerstrasse 11 4054 Basel Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teenagers Teams Groups Senior management","German Swiss German English","Partially covered by supplementary insurance To be paid by yourself",4054
"127","Psy Riviera Grand-Rue 18 1814 La Tour-de-Peilz Switzerland Cabinet des Bastions Rue De-Candolle 18 1205 Genève Switzerland","Less than two weeks","Older adults Adults Young adults Senior management","French Italian","Partially covered by supplementary insurance",1814
"128","Josefstrasse 84 8005 Zürich Switzerland","No date currently available","Older adults Couples Adults Young adults Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",8005
"129","Marielle Donzé Bahnhofstrasse 33 8703 Erlenbach Switzerland","Two to four weeks","Adults Young adults Couples Families Senior management","German French English","To be paid by yourself",8703
"130","Cabinet Toepffer Rue Rodolphe-Toepffer 11 1206 Genève Switzerland","At least four weeks","Adults Young adults Teenagers Children","French","Covered by basic insurance",1206
"131","Roger Dreyfus Rebgasse 28 4058 Basel Switzerland","No date currently available","Older adults Adults Young adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4058
"132","Berneggstrasse 11 9000 St. Gallen Switzerland","At least four weeks","Older adults Adults Young adults Couples Teenagers","German English","Covered by basic insurance To be paid by yourself",9000
"133","Cabinet de psychologie-sophrologie Av. de Chailly 23 1012 Lausanne Switzerland","Two to four weeks","Older adults Adults Young adults Families Teenagers","French","Covered by basic insurance",1012
"134","Espace Abraham-Gevray 6 rue Abraham-Gevray 1201 Genève Switzerland","Two to four weeks","Adults Young adults","French English","Covered by basic insurance",1201
"135","Haldenstrasse 6 6300 Zug Switzerland Korrespondenzadresse Widenstrasse 47 6317 Oberwil bei Zug Switzerland","At least four weeks","Adults Young adults","German","Covered by basic insurance",6300
"136","Av Cerjat 1 1510 Moudon Switzerland","Two to four weeks","Older adults Adults Young adults Teenagers","French","Covered by basic insurance",1510
"137","Praxis für Suchtentwöhnung und Psychotherapie Schaffhauserstrasse 272 8057 Zürich Switzerland","Less than two weeks","Older adults Adults Young adults Senior management","German French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8057
"138","Ambulatorium Klinik Sarnen Militärstrasse 8 6060 Sarnen Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German","To be paid by yourself",6060
"139","Psychotherapeutische Praxis Kirchgasse 28 8706 Meilen Switzerland","No date currently available","Adults Young adults Children",NA,"Covered by basic insurance To be paid by yourself",8706
"140","Klosbachstr. 2 8032 Zürich Switzerland","At least four weeks","Adults Older adults Young adults Couples Senior management","German Swiss German English","Covered by basic insurance",8032
"141","Les Nuances Rue de l'hôpital 12 1920 Martigny Switzerland","No date currently available","Adults","French Italian","Covered by basic insurance",1920
"142","Praxis für Laufbahnberatung und Psychotherapie Schmiedengasse 21 4500 Solothurn Switzerland","At least four weeks","Adults Young adults Couples Children Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4500
"143","Faubourg du Lac 2 2000 Neuchâtel Switzerland","At least four weeks","Adults Young adults Teenagers","French","Covered by basic insurance",2000
"144","Emil Frey-Strasse 70 4142 Münchenstein Switzerland","No date currently available","Adults","German","Covered by basic insurance",4142
"145","Eichenberger Psychologie - Praxisgemeinschaft Blickpunkt Bahnhofweg 17 5610 Wohlen Switzerland Korrespondenz: Othmarsingertrasse 30A 5103 5103 Möriken Switzerland","At least four weeks","Older adults Adults Young adults Couples Teams Senior management","German Swiss German French English","Covered by basic insurance To be paid by yourself",5610
"146","Psychologische Praxis Allmendstrasse 23 8910 Affoltern a.A. Switzerland","Two to four weeks","Older adults Couples Families Teams Adults Senior management","German English","Covered by basic insurance To be paid by yourself",8910
"147","Praxis für Psychotherapie Obertor 1 8400 Winterthur Switzerland","No date currently available","Older adults Adults","German","Covered by basic insurance",8400
"148","Psychotherapeutische Praxis Rebgasse 28 4058 Baeel Switzerland","No date currently available","Adults Young adults Older adults","German Swiss German Czech English","Covered by basic insurance",4058
"149","Praxisgemeinschaft Suhrental Aarauerstrasse 12 5040 Schöftland Switzerland","No date currently available","Adults Young adults Senior management Couples","German","Covered by basic insurance",5040
